,epoch,acc,iou,dice,sens,spec
0,0,0.972569261667549,0.5421375877659528,0.699935586517176,0.6156396301843787,0.9923986802178044
1,1,0.9765399079168996,0.6069288996438826,0.7544530181474584,0.6855483986036752,0.992706096941425
2,2,0.9783745962445454,0.6357549130916595,0.7765477471133714,0.7144002262302624,0.993039834242995
3,3,0.9796138120594845,0.6544825385014216,0.7904410629823644,0.731115371950211,0.9934192751684496
4,4,0.9808429678281149,0.6738508083326842,0.8043807656854711,0.7490628215894904,0.9937196364325862
5,5,0.9813950547287541,0.6823041642545372,0.81049469433805,0.756579024817354,0.9938848278214855
6,6,0.982406501167564,0.6982423767287244,0.8216411421696345,0.7706019581966502,0.9941734126819077
7,7,0.9829173855563645,0.7059453229109446,0.8271031418154317,0.7768528296421933,0.9943654088563817
8,8,0.9834427585204443,0.7142032336804175,0.8327297273502555,0.7836493559742487,0.9945423873842404
9,9,0.9839654362970783,0.7224532500390084,0.8383042940529444,0.790400061235633,0.9947190621206837
10,10,0.9842379022670048,0.727037333512819,0.8413623670736948,0.7947978468671921,0.9947623419825748
11,11,0.9846330956425718,0.7332282728084953,0.8455341125047335,0.7998141100009283,0.994900807417849
12,12,0.9850665120988764,0.7400767995465186,0.850117055959599,0.8053056749925819,0.9950532185774977
13,13,0.985394341490602,0.7453262113755749,0.8535475593100312,0.8093502459026152,0.9951745611365124
14,14,0.9854780608607877,0.7466979444988312,0.8545128305753072,0.8108823962749974,0.9951778167998919
15,15,0.9855794861752499,0.7483124513459462,0.8555083930171946,0.8119453731724011,0.9952258190480612
16,16,0.9860246397795216,0.7554157435573557,0.8602440336378672,0.8178340073234291,0.9953685582325023
17,17,0.9863202262629744,0.7603686570480306,0.8634392619132996,0.8222962033043626,0.9954326639893234
18,18,0.986602807557711,0.7650070329827647,0.8664308071777385,0.8261826320361065,0.9955150347243074
19,19,0.9867255115701307,0.7668757219147938,0.8676412927527581,0.8273636104278667,0.9955789454842127
20,20,0.9869654811518167,0.7709390525856326,0.8702087453616563,0.8310153723083517,0.9956293708534651
21,21,0.9872239893803032,0.7750479301778219,0.8728865828885827,0.8340605444485142,0.9957330616251114
22,22,0.9873612950886449,0.7772884437794326,0.8743079863889243,0.8358957331667665,0.9957760415410483
23,23,0.9876189331213633,0.7814712591709629,0.876936769132973,0.8388615364349017,0.995883228958294
24,24,0.9877204510473436,0.7831576894367894,0.8780458994129653,0.8405208038066023,0.995898203183246
25,25,0.9878598369898335,0.7856177886327108,0.8795370324965446,0.8427579553537471,0.9959210444201705
26,26,0.9880905165787666,0.7892497861257164,0.8818654967572099,0.8452617048576314,0.99602544355777
27,27,0.9882265318145034,0.7915415332842899,0.8833201918550717,0.8473592257948332,0.9960524874028339
28,28,0.9882161218312479,0.7913906497340049,0.8832467925804918,0.8474677344483714,0.996035470436978
29,29,0.9885850792290062,0.7975131874122927,0.8870347696606831,0.8522135629769294,0.9961612694045548
30,30,0.9886318174421146,0.7982462570872358,0.8875181533957041,0.8527525017658869,0.9961806628652798
31,31,0.9887150542069507,0.7996209776529701,0.8883193532625834,0.8534968511391712,0.9962271711518688
32,32,0.9889264672353704,0.8031260763765663,0.8905520600977764,0.8565963240720893,0.9962781329629242
33,33,0.9889766277484996,0.8040025916791731,0.8910730910557573,0.8572940709449912,0.9962923191888358
34,34,0.9890694433963427,0.8055492875076109,0.8920318830397821,0.8585469073826267,0.9963206908395214
35,35,0.9891904033319925,0.8075967799591762,0.8932887120272524,0.8603095993880303,0.9963504398061384
36,36,0.9893791432021767,0.8107298389878325,0.8952315294293947,0.8627588965239064,0.9964135947727388
37,37,0.9893929136376227,0.8110215846569307,0.8953916613132723,0.8630708989597136,0.9964107954373924
38,38,0.9896144536874627,0.8146603049770478,0.8976518101589654,0.8659098869369876,0.9964869219449258
39,39,0.9897437417699445,0.8168593709186841,0.8990116074521054,0.8677760628602837,0.9965197152347975
40,40,0.9896929457943927,0.8160068943936337,0.8984698744550828,0.8670158429491904,0.996508335073789
41,41,0.9897834078599048,0.8175663331183054,0.8994186913133949,0.8684250880633632,0.996525530212669
42,42,0.98994363107348,0.8202011913702052,0.9010306614381011,0.8702087379911895,0.9965955616645915
43,43,0.9900640588934704,0.8223294683041111,0.9022749787376773,0.8720586347964502,0.9966199100017548
44,44,0.9900313726355953,0.8217288904613064,0.9019224959355528,0.871477938627684,0.9966176669764263
45,45,0.9901868058468706,0.8243293430536024,0.9035296007510154,0.8736283306473045,0.996662270478023
46,46,0.9903896532712444,0.827736357687622,0.9055938704680371,0.8762313209233745,0.996731777184753
47,47,0.9903513547233356,0.8271249686518023,0.9051892710949785,0.8756201930584446,0.9967253020694179
48,48,0.9904473584185365,0.8287894165003171,0.9061903546574295,0.8771985174827678,0.9967389539364846
49,49,0.9904516699814028,0.8288123048441385,0.9062135415051573,0.8769830777760474,0.9967554717935542
50,50,0.9905535647625564,0.8305616027885868,0.9072692971075734,0.8785086270942483,0.9967782764985997
51,51,0.9907143909123636,0.8332791320418799,0.9089046505189711,0.8805550306394536,0.9968343482863519
52,52,0.9908005154581481,0.834745749350517,0.9097847553991503,0.8817823771187054,0.9968570715958073
53,53,0.9907993560516706,0.8347803504877193,0.9097803140519768,0.8819021776478778,0.9968491927269967
54,54,0.9909613843887083,0.8374615177031486,0.9114137173339885,0.8838413527575872,0.9969124907767901
55,55,0.9910636191727012,0.8392194007994026,0.9124391194312803,0.8850901554669103,0.9969510275830504
56,56,0.9910280127679149,0.8386158999255908,0.9120916648898073,0.8847110590306662,0.9969345047589271
