,epoch,train_loss,val_loss
0,0,1.1048386013636025,1.0219019260257483
1,1,0.8642948901140561,0.9033618215471506
2,2,0.7891831606306056,0.7850902937352657
3,3,0.7442724262514422,0.765424707904458
4,4,0.6977729521771913,0.7046050410717726
5,5,0.6747751386575801,0.7306958343833685
6,6,0.646439986683989,0.68232536688447
7,7,0.6291256172041739,0.679075451567769
8,8,0.6084380553614709,0.6545264422893524
9,9,0.5908443411832215,0.6471294742077589
10,10,0.5746334028500383,0.6192528838291764
11,11,0.5642303390208111,0.6041323579847813
12,12,0.5614374976965689,0.5828551296144724
13,13,0.5446016001765446,0.5779254445806146
14,14,0.5313629641007351,0.5836369777098298
15,15,0.5212515658268364,0.5516721047461033
16,16,0.5151706483735833,0.5927414204925299
17,17,0.5081086040184062,0.5636094911023974
18,18,0.5014714026643384,0.5564463585615158
19,19,0.49599513491635683,0.5703204032033682
20,20,0.4907441653551594,0.548572825267911
21,21,0.47878646546153614,0.5182346729561687
22,22,0.4821267563809631,0.542906035669148
23,23,0.4712055960009175,0.553553874604404
24,24,0.46434764740287615,0.526687279343605
25,25,0.46196089476667423,0.5345669537782669
26,26,0.45581226916082446,0.5261706477031112
27,27,0.4486174298230038,0.5133187659084797
28,28,0.4478508980684383,0.5217597438022494
29,29,0.44467996829940426,0.5069161327555776
30,30,0.4363983944859556,0.49908585008233786
31,31,0.4368361675290651,0.4958565514534712
32,32,0.42835271983377393,0.4866081429645419
33,33,0.4268274747876711,0.49385437928140163
34,34,0.4216422443428347,0.49528386164456606
35,35,0.41382859759433294,0.48473869636654854
36,36,0.4121530964489906,0.5322393234819174
37,37,0.4117692723389595,0.5035866945981979
38,38,0.408210985282416,0.4815406445413828
39,39,0.4038306673367818,0.48711072467267513
40,40,0.3989023183302213,0.4789283098652959
41,41,0.3999809944821942,0.45768563728779554
42,42,0.3983836550545949,0.4585356926545501
43,43,0.39508689731679936,0.46666773967444897
44,44,0.38993239963567383,0.48312968388199806
45,45,0.3849598140485825,0.46491609793156385
46,46,0.3829574453574355,0.45182862505316734
47,47,0.3832959269964567,0.45791170094162226
48,48,0.3835274166958306,1.418421758338809
49,49,0.3780694797795306,0.45887311827391386
